original_names,updated_names,coral_type
scleronephthya_gracillimum,scleronephthya_gracillima,octocoral
sclerophytum_penghuense,sclerophytum_penghuense,octocoral
scolymia_cubensis,scolymia_cubensis,hard_coral
scolymia_cubensis,scolymia_cubensis,hard_coral
scolymia_sp,scolymia_sp,hard_coral
scolymia_unidentified,scolymia_sp,hard_coral
scolymia_vitiensis,lobophyllia_vitiensis,hard_coral
scolymia_vitiensis,lobophyllia_vitiensis,hard_coral
seriatopora,seriatopora_spp,hard_coral
seriatopora_caliendrium,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_caliendrum,seriatopora_caliendrum,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
seriatopora_hystrix,seriatopora_hystrix,hard_coral
